row_id,TEXT,LABEL,source
0,director dirk shafer and co-writer greg hinton ride the dubious divide where gay porn reaches for serious drama .,0,original
0_nlpaug,director dirk shafer and writer greg hinton explore the dubious divide where gay porn reaches for serious drama .,0,nlpaug
1,"a charming , quirky and leisurely paced scottish comedy -- except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life .",1,original
1_nlpaug,"a charming , quirky and leisurely paced scottish comedy , except with an outrageous central gimmick that could have been a reject from monty python 's meaning of life .",1,nlpaug
2,"the price was good ,  and came quickly though my prime membership .",1,original
2_nlpaug,"the price was good , and came quickly though my prime membership .",1,nlpaug
3,i was looking forward to this game for a couple of num_extend,0,original
3_nlpaug,i was looking forward to this game for a couple of num_extend,0,nlpaug
4,arguably the year 's silliest and most incoherent movie .,0,original
4_nlpaug,arguably the year 's silliest and most incoherent movie .,0,nlpaug
5,"emerges as something rare , an issue movie that 's so honest and keenly observed that it does n't feel like one .",1,original
5_nlpaug,"emerges as something rare , an issue movie that is so deeply and keenly observed that it does n't feel like one .",1,nlpaug
6,anyway i recommend this one for its price and quality .,1,original
6_nlpaug,anyway i recommend this one for both price and quality .,1,nlpaug
7,it seems to be of very good quality in its build .,1,original
7_nlpaug,it seems to be of very good quality in its build .,1,nlpaug
8,... there are enough moments of heartbreaking honesty to keep one glued to the screen .,1,original
8_nlpaug,... there are enough moments of complete honesty to keep me glued to the screen .,1,nlpaug
9,they get into the corners as described and are flexible yet firm .,1,original
9_nlpaug,they get into the corners as described and are flexible and firm .,1,nlpaug
10,"it extends the writings of jean genet and john rechy , the films of fassbinder , perhaps even the nocturnal works of goya .",1,original
10_nlpaug,"it extends the writings of jean genet and john rechy , the films of hitchcock , perhaps even the nocturnal works of goya .",1,nlpaug
11,"liman , of swingers and go , makes his big-budget action film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling car chase .",0,original
11_nlpaug,"liman , of swingers and go , makes his big-budget feature film debut something of a clunker as he delivers a long , low-heat chase , interrupted by a middling car chase .",0,nlpaug
12,a sermonizing and lifeless paean to teenage dullards .,0,original
12_nlpaug,a sermonizing and humorous paean to teenage dullards .,0,nlpaug
13,the issue of faith is not explored very deeply,0,original
13_nlpaug,the issue of faith is not explored very .,0,nlpaug
14,armada lacks the epic scope of similar games like homeworld or even starcraft .,0,original
14_nlpaug,armada lacks the epic scope of similar games like homeworld or space starcraft .,0,nlpaug
15,"the people in dogtown and z-boys are so funny , aggressive and alive , you have to watch them because you ca n't wait to see what they do next .",1,original
15_nlpaug,"the people in dogtown and z-boys are so funny , funny and alive , you have to watch them because you ca n't wait to see what they do next .",1,nlpaug
16,"bad company leaves a bad taste , not only because of its bad-luck timing , but also the staleness of its script .",0,original
16_nlpaug,"bad company leaves a bad taste , not only because of its bad-luck timing , but also the staleness of its script .",0,nlpaug
17,"scarlet diva has a voyeuristic tug , but all in all it 's a lot less sensational than it wants to be .",0,original
17_nlpaug,"scarlet diva has a voyeuristic tug , but all in all it 's a lot less sensational than it wants to be .",0,nlpaug
18,with this i say i work giving support to the u . s .,0,original
18_nlpaug,with this i say i work giving aid to the u . s .,0,nlpaug
19,this meter is technology from a decade ago .,0,original
19_nlpaug,this meter is technology from a decade ago .,0,nlpaug
20,"they were huge ,  yet the same size in the leather is tight .",0,original
20_nlpaug,"they were huge , yet the same hole in the leather is tight .",0,nlpaug
21,it never fails to engage us .,1,original
21_nlpaug,it never fails to engage us .,1,nlpaug
22,it worked great for the first couple of weeks then it just stopped completely .,0,original
22_nlpaug,it worked great for the first couple of weeks then it just stopped working .,0,nlpaug
23,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten .",1,original
23_nlpaug,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george washington has long forgotten .",1,nlpaug
24,either than or the developers decided to do their own .,0,original
24_nlpaug,"either than , the developers decided to do their own .",0,nlpaug
25,it 's neither as romantic nor as thrilling as it should be .,0,original
25_nlpaug,it was neither as romantic nor as thrilling as it should be .,0,nlpaug
26,will update this review should it meet a similar fate to my previous wheel .,1,original
26_nlpaug,will update this review should it meet a similar fate to my previous wheel .,1,nlpaug
27,i cannot recommend this product for anyone trying to fix a leaky transmission .,0,original
27_nlpaug,i cannot recommend this product for anyone trying to fix a radio transmission .,0,nlpaug
28,but this time there 's some mold on the gold .,0,original
28_nlpaug,but this time there 's some mold on the gold .,0,nlpaug
29,i won t give this to the new puppy i m getting .,0,original
29_nlpaug,i won t give this to the new puppy i m getting .,0,nlpaug
30,i have never had a pleasant experience with the customer support at cuisnart .,1,original
30_nlpaug,i have never had a pleasant experience with the life support at cuisnart .,1,nlpaug
31,pretty much all i ask for in a grinder .,1,original
31_nlpaug,pretty much all i ask for is a grinder .,1,nlpaug
32,"snug fit ,  with all the buttons and holes perfectly aligned .",1,original
32_nlpaug,"snug fit , with all the buttons and holes perfectly aligned .",1,nlpaug
33,"also ,  it creates more static than the one i m used to .",0,original
33_nlpaug,"also , it creates more static than the ones i m used to .",0,nlpaug
34,"this road movie gives you emotional whiplash , and you 'll be glad you went along for the ride .",1,original
34_nlpaug,"this road movie gives you emotional whiplash , and you 'll be glad you went along for the ride .",1,nlpaug
35,"stars matthew perry and elizabeth hurley illicit more than a chuckle , and more jokes land than crash , but ultimately serving sara does n't distinguish itself from the herd .",0,original
35_nlpaug,"stars matthew perry and elizabeth hurley illicit more than a couple , and more jokes land and crash , but ultimately serving sara does n't distinguish her from the herd .",0,nlpaug
36,"a triumph , relentless and beautiful in its downbeat darkness .",1,original
36_nlpaug,"a triumph , beautiful and beautiful in its downbeat darkness .",1,nlpaug
37,"a very witty take on change , risk and romance , and the film uses humour to make its points about acceptance and growth .",1,original
37_nlpaug,"a very witty take on life , love and romance , and the film uses humour to make its points about acceptance and growth .",1,nlpaug
38,perfect size for preparing dishes . it really works well .,1,original
38_nlpaug,perfect size for the dishes . it really works well .,1,nlpaug
39,it keeps the air clean and nice fresh smelling .,1,original
39_nlpaug,it keeps the air clean and is fresh smelling .,1,nlpaug
40,i do n't have an i am sam clue .,0,original
40_nlpaug,i ' n't have an i am sam clue .,0,nlpaug
41,but the back side looks nice as well .,1,original
41_nlpaug,but the back side looks nice as well .,1,nlpaug
42,"a dreary , incoherent , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of pretentious , meaningless prattle .",0,original
42_nlpaug,"a dreary , boring , self-indulgent mess of a movie in which a bunch of pompous windbags drone on inanely for two hours ... a cacophony of meaningless , meaningless music .",0,nlpaug
43,think of it as a sort of comfort food for the mind .,1,original
43_nlpaug,think of it as a sort of comfort food for the mind .,1,nlpaug
44,this keeps the cord out of the way and above the board .,1,original
44_nlpaug,this keeps the cord out of the way and above the board .,1,nlpaug
45,"what will , most likely , turn out to be the most repellent movie of 2002 .",0,original
45_nlpaug,"what will , most likely , turn out to be the most successful movie of 2002 .",0,nlpaug
46,item arrived in num_num days in bulk packaging exactly like j .,1,original
46_nlpaug,item listed in num_num days in bulk packaging exactly like j .,1,nlpaug
47,a chaotic panorama that 's too busy flying a lot of metaphoric flags .,0,original
47_nlpaug,a chaotic panorama that 's too busy flying a lot of metaphoric flags .,0,nlpaug
48,"and ,  there were many things we liked about this game .",0,original
48_nlpaug,"and , there were many things we liked about this game .",0,nlpaug
49,what makes the movie a comedy is the way it avoids the more serious emotions involved .,1,original
49_nlpaug,what makes the movie a comedy is the way it portrays the more serious emotions involved .,1,nlpaug
50,thank heaven the operation is intuitive because there are no instructions .,0,original
50_nlpaug,thank heaven the operation is intuitive because there are no instructions .,0,nlpaug
51,i miss my days of cracker eating before becoming gluten free .,0,original
51_nlpaug,"i miss my days of cracker , before becoming gluten free .",0,nlpaug
52,"so ,  to me this is pretty darn  instant  .",1,original
52_nlpaug,"well , to me this is pretty darn instant .",1,nlpaug
53,a well-made and often lovely depiction of the mysteries of friendship .,1,original
53_nlpaug,a well-made and very lovely depiction of the mysteries of friendship .,1,nlpaug
54,"occasionally melodramatic , it 's also extremely effective .",1,original
54_nlpaug,"occasionally though , it 's also extremely effective .",1,nlpaug
55,"even with all those rough edges safely sanded down , the american insomnia is still pretty darned good .",1,original
55_nlpaug,"even with all the rough edges safely sanded down , the american insomnia is still pretty darned good .",1,nlpaug
56,"like i said ,  it works ,  these are ok .",1,original
56_nlpaug,"like i said , it works , these are ok .",1,nlpaug
57,this is junk food cinema at its greasiest .,0,original
57_nlpaug,this is junk food cinema at its greasiest .,0,nlpaug
58,"-lrb- wendigo is -rrb- why we go to the cinema : to be fed through the eye , the heart , the mind .",1,original
58_nlpaug,"-lrb- wendigo is -rrb- why we go to the cinema : to be fed through the eye , the heart , the mind .",1,nlpaug
59,"a mix of velocity and idiocy , this ruinous remake lacks the brawn -- and the brains -- of the 1970s original .",0,original
59_nlpaug,"a mix of velocity and idiocy , this ruinous remake lacked the brawn -- and the personality -- of the 1970s original .",0,nlpaug
60,"without september 11 , collateral damage would have been just another bad movie .",0,original
60_nlpaug,"without september 11 , the damage would have been just another bad movie .",0,nlpaug
61,"my little girl wanted this for her birthday ,  so we got it .",0,original
61_nlpaug,"my little girl wanted this for her birthday , so we bought it .",0,nlpaug
62,i wouldn t trade them but this is a great knife for the price .,1,original
62_nlpaug,i wouldn t trade them but this is a great bargain for the price .,1,nlpaug
63,"static , repetitive , muddy and blurry , hey arnold !",0,original
63_nlpaug,"static , repetitive , muddy and blurry , hey hey !",0,nlpaug
64,a predictable and stereotypical little b-movie .,0,original
64_nlpaug,a predictable and stereotypical little girl .,0,nlpaug
65,"so many documentaries like this presuppose religious bigotry or zealous nuttiness of its antagonists , but family fundamentals displays a rare gift for unflinching impartiality .",1,original
